MC,,1.0,Que son los parametros por defecto en una funcion?,2,Parametros que se calculan automaticamente,Valores que se usan si no se proporciona un argumento,Parametros que no se pueden cambiar,El primer parametro de la funcion
MC,,1.0,Para que sirve la documentacion (docstring) en una funcion?,2,Para hacer la funcion mas lenta,Para explicar que hace la funcion y como usarla,Para crear variables automaticamente,Solo para funciones matematicas
MC,,1.0,Que instruccion necesitas para usar pandas en tu codigo?,2,import pandas,import pandas as pd,from pandas import pd,using pandas
MC,,1.0,Como se llama la estructura principal de datos en pandas?,3,Array,List,DataFrame,Table
MC,,1.0,Que funcion usas para leer un archivo CSV en pandas?,3,pd.open_csv(),pd.load_csv(),pd.read_csv(),pd.import_csv()
MC,,1.0,"Si tienes un DataFrame df, como ves las primeras 5 filas?",3,df.first(5),df.top(5),df.head(5),df.show(5)
MC,,1.0,Que comando usas para ver informacion sobre tipos de datos y valores nulos en un DataFrame?,1,df.info(),df.types(),df.describe(),df.summary()
MC,,1.0,Cuales son las formas correctas de acceder a una columna llamada 'goles' en un DataFrame?,3,Solo df.goles,Solo df['goles'],Ambas df.goles y df['goles'],df.get('goles')
MC,,1.0,"Si un DataFrame tiene 50 filas y 4 columnas, que devuelve len(df)?",2,4,50,54,200
MC,,1.0,Que hace df.describe() en un DataFrame?,2,Muestra tipos de datos,Muestra estadisticas descriptivas de columnas numericas,Muestra las primeras filas,Cuenta valores unicos
MC,,1.0,Como filtras un DataFrame df para mostrar solo jugadores con mas de 10 goles?,1,df[df['goles'] > 10],df.filter(goles > 10),df.where(goles > 10),df.select(goles > 10)
MC,,1.0,Cual es el comando correcto para importar numpy?,2,import numpy,import numpy as np,from numpy import np,using numpy
MC,,1.0,Cual es la forma comun de importar matplotlib para crear graficos?,2,import matplotlib as plt,import matplotlib.pyplot as plt,import pyplot as plt,from matplotlib import plt
MC,,1.0,Que funcion usas para mostrar un grafico en matplotlib?,2,plt.display(),plt.show(),plt.plot(),plt.draw()
MC,,1.0,Como agregas un titulo a un grafico en matplotlib?,2,plt.name('titulo'),plt.title('titulo'),plt.header('titulo'),plt.label('titulo')
MC,,1.0,Que tipo de grafico es mejor para mostrar la evolucion de goles por mes?,2,Grafico de barras,Grafico de lineas,Grafico circular,Histograma
MC,,1.0,Que tipo de grafico usarias para comparar el total de goles de diferentes equipos?,2,Grafico de lineas,Grafico de barras,Grafico de dispersion,Histograma
MC,,1.0,Que funcion usas para crear un grafico de barras en matplotlib?,2,plt.line(),plt.bar(),plt.scatter(),plt.hist()
MC,,1.0,Como etiquetas el eje X en un grafico de matplotlib?,2,plt.axisx('etiqueta'),plt.xlabel('etiqueta'),plt.xtitle('etiqueta'),plt.labelx('etiqueta')
MC,,1.0,Que tipo de grafico usarias para mostrar la relacion entre goles anotados y puntos obtenidos?,3,Grafico de barras,Grafico de lineas,Grafico de dispersion,Grafico circular
MC,,1.0,Como cambias el tamano de una figura antes de crear el grafico?,2,"plt.size(10,6)","plt.figure(figsize=(10,6))","plt.dimensions(10,6)","plt.resize(10,6)"
MC,,1.0,Para que sirve plt.legend() en un grafico?,2,Para cambiar el titulo,Para mostrar las etiquetas de las series de datos,Para cambiar los colores,Para guardar el grafico
